train_cohort,test_cohort,feature_set,cell_type,status,reason,n,MAE,RMSE,R2,r,cBAG_age_r,cBAG_age_slope,cBAG_age_intercept,model_path,test_graph_path,bias_beta_from_train_oof,bias_alpha_from_train_oof,target_normalization_used,target_mean,target_std,train_node_dim,test_node_dim,train_global_dim,test_global_dim,train_edge_dim,test_edge_dim
HABS,HABS,imaging_only,diagonal_oof,ok,,394.0,2.864265534659152,3.643308659045686,0.7982827152323019,0.9122184380202092,1.887379141862766e-15,8.50150290100974e-16,-1.9449828210342403e-14,,,,,,,,,,,,,
HABS,AD_DECODE,imaging_only,external,ok,,86.0,6.683361484220595,8.088285049549734,0.7452223963691788,0.9354082672301166,-0.4466498188604526,-0.1587408759939347,14.026709407272897,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_habs_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_only/graph_data_list_ad_decode_all.pt,-0.6752561130273518,45.37199308928587,True,67.085609135894,8.111934009922717,3.0,3.0,4.0,4.0,1.0,1.0
AD_DECODE,ADNI,imaging_only,external,ok,,316.0,61.99274207661081,62.52894721106067,-92.7296005985216,0.5806923289581978,-0.0793923363264241,-0.1004439619849655,-54.31513619754481,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_addecode_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_only/graph_data_list_adni_all.pt,-0.6912480946948169,34.2569296997285,True,50.265035049824775,15.12709831589304,3.0,3.0,4.0,4.0,1.0,1.0
AD_DECODE,ADRC,imaging_only,external,ok,,204.0,49.38642648594909,50.005690132986345,-16.90722770178392,0.7610092338091621,-0.3217038129455374,-0.2245907548455394,-36.30413359344757,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_addecode_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_only/graph_data_list_adrc_all.pt,-0.6912480946948169,34.2569296997285,True,50.265035049824775,15.12709831589304,3.0,3.0,4.0,4.0,1.0,1.0
AD_DECODE,HABS,imaging_only,external,ok,,486.0,65.55857274060683,66.42008966333844,-59.89022277084046,0.5358644178344499,-0.1731615344117219,-0.2169249555066494,-50.95748342674808,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_only/brainage_addecode_imaging_only_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_only/graph_data_list_habs_all.pt,-0.6912480946948169,34.2569296997285,True,50.265035049824775,15.12709831589304,3.0,3.0,4.0,4.0,1.0,1.0
AD_DECODE,AD_DECODE,imaging_only,diagonal_oof,ok,,79.0,5.096700152812739,6.943451723848261,0.7893121072936543,0.9088326072345254,3.1398494915180213e-16,1.3167297810100328e-16,-1.5522816579098942e-14,,,,,,,,,,,,,
ADNI,ADNI,imaging_demographics,diagonal_oof,ok,,233.0,1.8792009518780304,2.3722470159309763,0.8632368491066369,0.9379182931796168,-1.970645868709653e-15,-7.387029052495511e-16,4.1118477225547774e-14,,,,,,,,,,,,,
ADNI,ADRC,imaging_demographics,external,ok,,204.0,2.1994150923401343,3.855181584294932,0.8935662944426996,0.9505188727136954,-0.0705755379495986,-0.0226018571702563,2.045345271888046,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_adni_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_demographics/graph_data_list_adrc_all.pt,-0.8563320202735474,64.62556058868869,True,76.1030042918455,6.414685370236268,3.0,3.0,6.0,6.0,1.0,1.0
ADNI,HABS,imaging_demographics,external,ok,,486.0,2.135614869360866,2.60002226787098,0.9066954585447244,0.959335509340383,-0.0894794602651211,-0.0257531017464416,2.604380363752436,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_adni_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_demographics/graph_data_list_habs_all.pt,-0.8563320202735474,64.62556058868869,True,76.1030042918455,6.414685370236268,3.0,3.0,6.0,6.0,1.0,1.0
ADNI,AD_DECODE,imaging_demographics,external,ok,,86.0,10.381119844303798,10.71277644108578,0.553056695547773,0.9864579736816133,-0.2739411735637012,-0.0452172567523548,12.7406129654167,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_adni_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_demographics/graph_data_list_ad_decode_all.pt,-0.8563320202735474,64.62556058868869,True,76.1030042918455,6.414685370236268,3.0,3.0,6.0,6.0,1.0,1.0
