feature_set,group,metric,n_cells,min,median,mean,max,best_cell_min,worst_cell_max
full_no_cardiovascular,diagonal_oof,r_raw,4,0.3738940456420221,0.5703218201908604,0.5382844724692855,0.6386002038533989,ADNI→ADNI,HABS→HABS
full_no_cardiovascular,diagonal_oof,mean_abs_cBAG,4,1.9920349442926035,3.688970950668404,3.7759540440651147,5.733839330631048,ADNI→ADNI,AD_DECODE→AD_DECODE
full_no_cardiovascular,diagonal_oof,cBAG_age_slope,4,-4.246944884402538e-16,-7.088074909126589e-17,-3.405862110746168e-17,4.302215021929389e-16,AD_DECODE→AD_DECODE,ADRC→ADRC
full_no_cardiovascular,external_transfer,MAE_raw,6,6.161115994626167,12.975087988189467,12.212849303775732,20.451837976892214,HABS→ADNI,ADRC→ADNI
full_no_cardiovascular,external_transfer,RMSE_raw,6,7.783635347937895,15.610298305663981,14.400372983169516,21.972541439021327,HABS→ADNI,ADRC→ADNI
full_no_cardiovascular,external_transfer,R2_raw,6,-10.573777195961917,-0.9074367357955844,-2.5284017002542627,0.0068256204148957,ADRC→ADNI,ADNI→HABS
full_no_cardiovascular,external_transfer,r_raw,6,0.1490581540940121,0.2764896069750241,0.2737108868114883,0.4193244997786912,ADRC→ADNI,HABS→ADRC
full_no_cardiovascular,external_transfer,mean_abs_cBAG,6,3.7179171204275785,5.9920050441621715,6.126130607077684,8.557970494758534,HABS→ADNI,HABS→ADRC
full_no_cardiovascular,external_transfer,cBAG_age_slope,6,-0.2478132876821969,-0.21079286275219733,-0.18385994920491347,-0.0850500512049537,HABS→ADRC,ADNI→ADRC
imaging_biomarkers,diagonal_oof,MAE_raw,4,4.791780346499595,6.129387780889159,6.642863462663615,9.520897942376546,HABS→HABS,AD_DECODE→AD_DECODE
imaging_biomarkers,diagonal_oof,RMSE_raw,4,6.166562759514645,7.897697170239713,8.755112293839076,13.058492075362228,ADNI→ADNI,AD_DECODE→AD_DECODE
imaging_biomarkers,diagonal_oof,R2_raw,4,0.0758646319854094,0.27734655226882754,0.25611149300508806,0.3938882354972877,ADNI→ADNI,HABS→HABS
imaging_biomarkers,diagonal_oof,r_raw,4,0.2804659585703551,0.5302664136484383,0.4926758149140821,0.6297044737890967,ADNI→ADNI,HABS→HABS
imaging_biomarkers,diagonal_oof,mean_abs_cBAG,4,1.489553718910265,3.6156085004745218,3.6614311944172897,5.92495405780985,ADNI→ADNI,AD_DECODE→AD_DECODE
imaging_biomarkers,diagonal_oof,cBAG_age_slope,4,-6.67741477431498e-16,-1.0371931622583275e-16,-1.057998514776652e-16,4.519807039725027e-16,ADNI→ADNI,ADRC→ADRC
imaging_biomarkers,external_transfer,MAE_raw,6,7.601927141934284,12.785372966728236,21.718475913970142,49.37970851084112,ADNI→HABS,ADRC→HABS
imaging_biomarkers,external_transfer,RMSE_raw,6,9.476096681875177,15.747928261721444,23.78785897788472,50.69329606019664,ADNI→HABS,ADRC→HABS
